name,platform,price,discount,normal,rating,total
"Need for Speed™ Payback",PS4,$11.99,70,$39.99,4.06,4174
"Silent Hill™ (PS3™/PSP®)",PS3,$2.99,50,$5.99,4.76,7340
"Sword Art Online Re: Hollow Fragment",PS4,$4.99,75,$19.99,4.61,10160
"The Elder Scrolls® Online: Summerset™ Upgrade",PS4,$14.99,50,$29.99,4.44,82
"Utawarerumono: Mask of Deception and Truth Bundle",PS4,$24.99,50,$49.99,5,1
"Alien: Isolation",PS4,$8.99,70,$29.99,4.56,7731
"Cities: Skylines - PlayStation®4 Edition",PS4,$15.99,60,$39.99,4.54,947
"D.A.R. Assault Bundle",PS4,$2.99,40,$4.99,4.5,14
"Darkest Dungeon®",PS4,$8.24,67,$24.99,4.7,2703
"Impact Winter",PS4,$4.99,75,$19.99,4.36,11
"Just Cause 3: Reaper Missile Mech",PS4,$1.49,70,$4.99,4.55,557
"Life is Strange: Before the Storm Complete Season",PS4,$5.09,70,$16.99,4.77,409
"Outcast - Second Contact",PS4,$11.99,70,$39.99,3.82,17
"Rocket League® - Supersonic Fury DLC Pack",PS4,$1.99,50,$3.99,4.39,5667
"Shantae: Pirate Queen's Quest",PS4,$4.99,50,$9.99,4.82,38
"SWORD ART ONLINE: FATAL BULLET",PS4,$29.99,50,$59.99,4.71,557
"Assassin's Creed® Odyssey",PS4,$29.99,50,$59.99,4.61,1109
"Carnival Games® VR",PS4,$4.99,75,$19.99,3.87,323
"Dragon Ball Xenoverse",PS4,$13.19,67,$39.99,4.57,24928
"Fallout 4: Nuka-World",PS4,$11.99,40,$19.99,4.65,8417
"Fire Pro Wrestling World",PS4,$29.99,40,$49.99,4.89,66
"Goat Simulator: The GOATY",PS4,$6.24,75,$24.99,4.36,25
"GRID 2 Reloaded",PS3,$9.99,75,$39.99,4.45,76
"GRID Autosport",PS3,$7.49,75,$29.99,4.54,917
"GUNDAM VERSUS",PS4,$19.79,67,$59.99,4.51,678
"Just Cause 4 - Gold Edition",PS4,$67.49,25,$89.99,4.77,70
"Lara Croft and the Temple of Osiris Season Pass",PS4,$1.49,85,$9.99,4.66,171
"METAL GEAR SURVIVE",PS4,$14.99,50,$29.99,4.02,652
Necropolis,PS4,$7.49,75,$29.99,4.06,254
"Rise & Shine",PS4,$5.99,60,$14.99,3.85,94
