name,platform,price,discount,normal,rating,total
Theseus,PS4,$19.99,0,,3.69,100
"The Solus Project",PS4,$19.99,0,,4.16,165
"The Walker",PS4,$4.99,50,$9.99,2.8,5
Thumper,PS4,$5.99,70,$19.99,4.71,911
"Time Carnage",PS4,$9.99,50,$19.99,4.48,25
"Time Machine VR",PS4,$29.99,0,,3.84,160
"Tiny Trax",PS4,$19.99,0,,3.92,36
"Titanic VR",PS4,$19.99,0,,4.07,15
"Tom Grennan VR",PS4,Free,0,,3.94,18
Torn,PS4,$14.99,50,$29.99,3.69,32
"TO THE TOP",PS4,$19.99,0,,4.67,36
"Touhou Kobuto V: Burst Battle",PS4,$5.99,70,$19.99,4.3,10
"Track Lab",PS4,$19.99,0,,4.86,7
"Trackmania Turbo",PS4,$39.99,0,,4.1,3629
"TRACKMANIA TURBO TRIAL",PS4,Free,0,,4.43,2718
Transference,PS4,$14.99,40,$24.99,4.56,16
Transpose,PS4,$19.99,0,,4.5,2
"Trickster VR: Co-op Dungeon Crawler",PS4,$14.99,0,,4.5,18
"Tumble VR",PS4,$9.99,0,,4.31,281
"Tumble VR Demo",PS4,Free,0,,4.29,341
"Twisty Puzzle Simulator",PS4,$9.99,0,,5,1
Ultrawings,PS4,$24.99,0,,4.63,186
"Unearthing Mars",PS4,$5.99,60,$14.99,2.95,188
"Unearthing Mars 2: The Ancient War",PS4,$15.99,20,$19.99,3.42,12
"Until Dawn: Rush of Blood",PS4,Free,0,,4.38,1256
"Until Dawn: Rush of Blood",PS4,$4.49,70,$14.99,4.32,2897
"VEV: Viva Ex Vivo™‎ VR Edition",PS4,$4.99,0,,3.53,101
"Viking Days",PS4,$4.99,0,,3,6
"Virry VR: Feel the Wild",PS4,$1.99,80,$9.99,3.17,109
"Virry VR: Wild Encounters",PS4,$3.99,80,$19.99,3.8,5
VirtuGO,PS4,$3.99,0,,5,3
"VirZOOM Arcade",PS4,Free,0,,3.24,689
Volume,PS4,$19.99,0,,4.43,392
"VR Apocalypse",PS4,$17.99,0,,,
"VR Invaders - Complete Edition",PS4,$17.99,0,,4.19,78
"VR Karts",PS4,$29.99,0,,3.27,22
"VR Karts - Character Mod Pack 1",PS4,$3.99,0,,,
"VR Karts - Character Mod Starter Pack",PS4,Free,0,,3.98,286
"VR Levels",PS4,Free,0,,4.33,618
VRobot,PS4,$8.99,40,$14.99,3.07,14
VRog,PS4,$4.99,0,,3.63,8
"VROOM KABOOM",PS4,$19.99,0,,4.5,4
"VROOM KABOOM Demo",PS4,Free,0,,3.85,322
"VR Ping Pong",PS4,$14.99,0,,2.73,62
"VR The Diner Duo",PS4,$14.99,0,,4,90
"Waddle Home",PS4,$2.49,75,$9.99,4,32
WARBOT,PS4,$9.99,0,,,
"Wayward Sky",PS4,$19.99,0,,4.4,182
"Weeping Doll",PS4,$9.99,0,,2.82,220
"We Happy Few: Uncle Jack Live VR",PS4,Free,0,,3.51,72
"Werewolves Within™",PS4,$19.99,0,,4.66,209
"Wild Turkey Hunter VR",PS4,$5.99,60,$14.99,3.5,2
Windlands,PS4,$24.99,0,,4.18,110
"WipEout Omega Collection",PS4,$5.99,70,$19.99,4.78,838
WITHIN,PS4,Free,0,,4.48,712
"Wraith (VR)",PS4,$9.99,0,,2.33,12
YouTube,PS4,Free,0,,4.57,333569
"ZONE OF THE ENDERS: The 2nd Runner - M∀RS",PS4,$14.99,50,$29.99,4.97,80
